负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				食品工业领域理学硕士：管理和营销	一年	210，000港币	11.27~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				环境管理硕士	一年	210，000港币	11.27~次年4.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				应用地球科学理学硕士	一年	185，000港币	10.3~次年1.30 次年1.31~4.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				食品安全和毒理学理学硕士	一年	200，000港币	11.25~次年4.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				健康与材料化学技术硕士	一年半	273，000港币	10.27~次年4.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				海洋生态与保护综合硕士	一年	300，000港币	11.24~次年4.30	雅思：总分6，小分5.5 托福：总分80	否	无	
			社会科学学院	中国发展研究硕士	一年	230，000港币	11.7~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	有	
				运输政策与规划硕士	一年	197，400港币	11.12~次年3.6	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				表达艺术治疗硕士	两年	369，600港币	10.1~次年2.2	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				犯罪学社会科学硕士	一年	210，000港币	10.20~11.14 11.15~次年3.16	雅思：总分6，小分5.5 托福：总分80	否	有	
				国际和公共事务硕士	一年	250，000港币	10.2~次年1.31	雅思：总分6，小分5.5 托福：总分80	否	有	
				新闻学硕士	一年	261，000港币	10.6~次年1.12	雅思：总分7，小分6 托福：总分95	否	入学考试	
				公共管理硕士	一年	275，000港币	10.13~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	有	
				媒体、文化和创意城市社会科学硕士	一年	210，000港币	10.13~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				行为健康社会科学硕士	一年	231，840港币	10.1~12.1 12.2~次年2.2	雅思：总分6，小分5.5 托福：总分80	否	有	
				临床心理学社会科学硕士	两年	448，000港币	10.28~次年1.2	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				非营利性管理社会科学硕士	一年	237，320港币	10.2~11.24 11.25~次年2.23  次年2.24~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	有	
				心理学社会科学硕士	一年	209，800港币	9.22~12.1 12.2~次年2.2	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				永续发展领导力和治理硕士	一年	250，000港币	10.20~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	有	
